slug,courseCode,courseName,category,subcategory,courseType,duration,mode,level,overview,outcomes,eligibility,certification,fees,curriculum,featured,status,notes,completenessState,completenessPercent,missingFields
it-siksha,ITSS002,IT Siksha,Digital & Business Skills,Computer & Digital Literacy,,3 Months,,,,,,,,Computer Fundamentals | MS Office (Word | Excel | PowerPoint) | Internet | PDP,FALSE,live,,minimal,0,mode | level | overview | outcomes | eligibility | certification | fees
digital-literacy-siksha,DLS001,Digital Literacy Siksha,Digital & Business Skills,Computer & Digital Literacy,,3 Months,,,,,,,,Fundamentals | Windows | Microsoft Word | Microsoft Excel | Microsoft PowerPoint | Internet | Mobile of Mobile Application | Online Form Fill Up | Print | Scan | Xerox | Google Maps Searching | YouTube | Online Television | Video Calling | Email | Ticket Booking | Hotel Booking | Movie Ticket Booking | Online Shopping | UPI Payment | Money Transfer | Mobile Recharge | Online Bill Payment | Water Bill Etc. | Insurance Premium Payment | Loan Payment | LICI Premium | Fast Tag | Post / Courier Checking System | Vehicle Information & Insurance Payment Etc,FALSE,live,,minimal,0,mode | level | overview | outcomes | eligibility | certification | fees
certificate-in-assamese-typing,CAT349,Certificate in Assamese Typing,Communication & Career Skills,Regional Language Typing,Certificate,3 Months,,,,,,,,Assamese Typing,FALSE,live,,minimal,0,mode | level | overview | outcomes | eligibility | certification | fees
diploma-in-english-and-hindi-typing,DEH358,Diploma in English & Hindi Typing,Communication & Career Skills,Regional Language Typing,Diploma,6 Months,,,,,,,,English & Hindi Typing,FALSE,live,,minimal,0,mode | level | overview | outcomes | eligibility | certification | fees
certificate-in-odia-typing,COT350,Certificate in Odia Typing,Communication & Career Skills,Regional Language Typing,Certificate,3 Months,,,,,,,,Odia Typing,FALSE,live,,minimal,0,mode | level | overview | outcomes | eligibility | certification | fees
diploma-in-english-and-bengali-typing,DEBT357,Diploma in English & Bengali Typing,Communication & Career Skills,Regional Language Typing,Diploma,6 Months,,,,,,,,English & Bengali Typing,FALSE,live,,minimal,0,mode | level | overview | outcomes | eligibility | certification | fees
certificate-in-hindi-typing,CHT351,Certificate in Hindi Typing,Communication & Career Skills,Regional Language Typing,Certificate,3 Months,,,,,,,,Hindi Typing,FALSE,live,,minimal,0,mode | level | overview | outcomes | eligibility | certification | fees
certificate-in-bengali-typing,CBT352,Certificate in Bengali Typing,Communication & Career Skills,Regional Language Typing,Certificate,3 Months,,,,,,,,Bengali Typing,FALSE,live,,minimal,0,mode | level | overview | outcomes | eligibility | certification | fees
certificate-in-english-typing,CET353,Certificate in English Typing,Communication & Career Skills,Regional Language Typing,Certificate,3 Months,,,,,,,,English Typing,FALSE,live,,minimal,0,mode | level | overview | outcomes | eligibility | certification | fees
diploma-in-english-typing,DET354,Diploma in English Typing,Communication & Career Skills,Regional Language Typing,Diploma,6 Months,,,,,,,,English Typing,FALSE,live,,minimal,0,mode | level | overview | outcomes | eligibility | certification | fees
diploma-in-hindi-typing,DHT355,Diploma in Hindi Typing,Communication & Career Skills,Regional Language Typing,Diploma,6 Months,,,,,,,,Computer Fundamental | Hindi Typing,FALSE,live,,minimal,0,mode | level | overview | outcomes | eligibility | certification | fees
diploma-in-bengali-typing,DBT356,Diploma in Bengali Typing,Communication & Career Skills,Regional Language Typing,Diploma,6 Months,,,,,,,,Computer Fundamentals | Bengali Typing using Bijoy & Bengali Word,FALSE,live,,minimal,0,mode | level | overview | outcomes | eligibility | certification | fees
full-stack-web-development,,Full Stack Web Development,Web & Software Development,,,Approximately 4–6 months,Online,Beginner to Intermediate,"A practical, project-based program covering web fundamentals, JavaScript, modern frontend and backend development, databases, and deployment — building toward a complete real-world web application.","Understand the structure and working principles of modern web applications. | Create responsive interfaces using HTML, CSS, and JavaScript. | Work with modern frontend development concepts and frameworks. | Understand server-side application development and APIs. | Work with databases and application data. | Use Git and common development workflows. | Deploy web projects to modern hosting platforms. | Plan and develop a complete practical web application project.","The program is suitable for students, beginners, career starters, and learners interested in web and software development. Previous professional development experience is not required. | Learners should have basic computer literacy, access to a computer suitable for development work, a stable internet connection, and a willingness to practice regularly. | Any formal academic eligibility requirements may be introduced separately where applicable.","SRS Academy Certificate of Completion — issued by SRS Academy, the training initiative of SPRS INFOTECH PVT LTD",,How the web works | Browsers and servers | Domains | HTML | Semantic markup | CSS fundamentals | Responsive design | Variables | Functions | Conditions | Loops | Arrays | Objects | DOM interaction | Events | Asynchronous concepts | Problem solving | Component-based interfaces | React fundamentals | Application structure | State | Forms | Routing | Responsive UI development | Server-side concepts | Node.js fundamentals | API architecture | Requests and responses | Validation | Basic authentication concepts | Database fundamentals | Structured data | CRUD operations | Data relationships | Application integration | Git | GitHub | Environment configuration | Debugging | Production builds | Deployment | Performance fundamentals | Basic web security practices,TRUE,live,Certificate verification method not yet documented (shows as unconfirmed on the live page).,partial,86,fees
